NoMDEntryTypes,SubscriptionRequestType,MDReqID,MarketDepth,MDUpdateType,NoRelatedSym,BeginString,BodyLength,MsgType,MsgSeqNum,SenderCompID,PossDupFlag,TargetCompID,OnBehalfOfCompID,DeliverToCompID,SendingTime,CheckSum
[2],1,MDREQ-632012-07-27 12:16:17.270-0300-2,0,1,"[""CMIG4,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-27 15:16:17.270-0300,null
[2],1,MDREQ-642012-07-27 12:16:17.302-0300-2,0,1,"[""CPLE6,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-27 15:16:17.302-0300,null
[2],1,MDREQ-652012-07-27 12:16:17.583-0300-2,0,1,"[""ELET6,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-27 15:16:17.583-0300,null
[2],1,MDREQ-662012-07-27 12:16:17.583-0300-2,0,1,"[""ENBR3,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-27 15:16:17.583-0300,null
[2],1,MDREQ-672012-07-27 12:16:17.598-0300-2,0,1,"[""LIGT3,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-27 15:16:17.598-0300,null
[2],1,MDREQ-682012-07-27 12:16:17.598-0300-2,0,1,"[""SBSP3,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-27 15:16:17.598-0300,null
[2],1,MDREQ-692012-07-27 12:16:17.598-0300-2,0,1,"[""TBLE3,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-27 15:16:17.598-0300,null
[2],1,MDREQ-702012-07-27 12:16:17.661-0300-2,0,1,"[""ELPL4,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-27 15:16:17.661-0300,null
[2],1,MDREQ-712012-07-27 12:16:17.661-0300-2,0,1,"[""MPXE3,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-27 15:16:17.661-0300,null
[2],1,MDREQ-722012-07-27 12:16:17.755-0300-2,0,1,"[""DASA3,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-27 15:16:17.755-0300,null
[2],1,MDREQ-732012-07-27 12:16:17.755-0300-2,0,1,"[""RADL3,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-27 15:16:17.755-0300,null
[2],1,MDREQ-742012-07-27 12:16:17.770-0300-2,0,1,"[""ODPV3,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-27 15:16:17.770-0300,null
[2],1,MDREQ-752012-07-27 12:16:17.770-0300-2,0,1,"[""AMIL3,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-27 15:16:17.770-0300,null
[2],1,MDREQ-762012-07-27 12:16:17.770-0300-2,0,1,"[""QUAL3,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-27 15:16:17.770-0300,null
[2],1,MDREQ-772012-07-27 12:16:17.770-0300-2,0,1,"[""IGTA3,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-27 15:16:17.770-0300,null
